TwitterID,words
debbielesko,"trump,gop,wisconsin,congress,republicans,people,folks,american,like,great,america,tax,time,president,dems,right,good,americans,let,know"
johnsonleads,"great,day,team,today,thanks,county,tonight,time,meet,thank,gop,happy,friends,new,event,lincoln day,campaign,vote,excited,women"
drkimschrier,"mnton_debbielesko,great,today,mnton_potus,senator,mnton_realdonaldtrump,mnton_potus mnton_realdonaldtrump,thank,state,vote,new,school,day,hshtg_maga,city,morning,support,congress,help,year"
bobhugin,"ohio,today,day,hshtg_tcot,great,obamacare,county,obama,time,thanks,fair,lincoln day,check,hshtg_obamacare,mnton_nrcc,jobs,president,tonight,happy,dinner"
joeprofitga_04,"thank,women,congress,honored,today,support,voters,ll,endorsed,let,healthcare,need,stand,district,care,washington,families,campaign,people,join"
mac4northdakota,"new jersey,new,senate,great,mnton_billspadea,day,tax,senator,people,committee,state,county,taxes,today,make,years,time,voted,morning,year"
votedannerkline,"georgia,district,congressional district,4th,congressional,thank,healthcare,run,families,campaign,people,congress,great,00,police,happy birthday,18,governor,men women,war"
laurenbaer,"today,dc,women,families,senate,help,health,act,new,care,day,great,work,national,need,president,veterans,proud,support,school"
johnsarbanes,"people,district,trump,senate,congress,6th,running,republicans,campaign,let,ve,time,support,need,democrats,house,working,today,health,want"
jodyhice,"mnton_repchriscollins,collins,mnton_realdonaldtrump,great,gop,ny,gt,county,thank,hshtg_obamacare,support,proud,today,new,congratulations,mnton_elisestefanik,president,obama,america,house"
redmaryland,"stop,great,campaign,today,politics,money,join,act,hshtg_mdpolitics,day,thank,thanks,happy,school,help,county,reform,vote,big,government"
lloydsmuckerpa,"senate,people,government,liberty,great,state,washington,thank,dc,senator,support,today,need,like,right,time,mnton_realdonaldtrump,mnton_justinamash,want,campaign"
chrisdepizzo,"support,great,american,today,day,nation,time,county,congress,yesterday,thanks,republican,conservative,thankful,help,great time,house,national,debate,campaign"
sarahsmith2018,"ohio,great,today,county,jobs,time,day,voters,night,need,work,voted,job,like,fair,unemployment,know,campaign,thanks,morning"
timburchett,"people,need,thank,today,time,want,congress,campaign,war,like,right,ve,fight,women,know,make,let,support,vote,working"
timryan,"thank,great,good,folks,county,day,man,yes,today,like,ll,friend,tell,honored,know,help,support,sure,ve,school"
jimfrancisla01,"ohio,great,mnton_realdonaldtrump,trump,today,vote,make,day,hillary,people,need,president,proud,let,time,thank,tonight,sure,support,ll"
juliefortx25,"louisiana,mnton_realdonaldtrump,thank,people,like,know,steve,day,think,campaign,thanks,let,good,help,republicans,don,time,want,agree,today"
dmmd4tncongress,"steve,thank,support,help,today,district,time,campaign,people,city,vote,congress,great,4th,like,thanks,need,new,running,working"
congjoewilson,"hshtg_tx25,texas,today,thank,tax,vote,congress,healthcare,people,tx,need,ve,day,great,women,campaign,voting,country,running,trump"
eddieedwardsnh,"healthcare,michigan,mnton_realdonaldtrump,people,congress,thank,need,running,thanks,town,mnton_foxnews,support,west,big,hall,campaign,trump,mnton_potus mnton_realdonaldtrump,today,great"
votetimmons,"vote,dr,running,thank,healthcare,day,fight,people,need,today,coming,let,congress,campaign,women,district,support,great,time,help"
